seed,n,m,objective,lambda_mode,lambda_init,lambda_eta,lambda_max,lambda_final,stab_normalize,stab_margin,eval_every,stab_every,ratio_final_%,final_fw,final_bw,total_w,iters_done,t_total_s,stab_calls,stab_time_s,eval_calls,eval_time_s,out_csv,tag
2,136648,5657719,softplus,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.29082599934053,33232482.0,8679658.0,41912140.0,823,120.53076601028442,164,45.378015756607056,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam3_seed2_ranking.csv,softplus_fixed_norm1_lam3_seed2
3,136648,5657719,softplus,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.24929149406353,33215074.0,8697066.0,41912140.0,823,120.53604221343994,164,45.36464333534241,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam3_seed3_ranking.csv,softplus_fixed_norm1_lam3_seed3
1,136648,5657719,softplus,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.69409674619335,32982380.0,8929760.0,41912140.0,823,120.478675365448,164,45.34861922264099,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam10_seed1_ranking.csv,softplus_fixed_norm1_lam10_seed1
2,136648,5657719,softplus,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.72343430805489,32994676.0,8917464.0,41912140.0,823,120.46092534065247,164,45.298141956329346,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam10_seed2_ranking.csv,softplus_fixed_norm1_lam10_seed2
3,136648,5657719,softplus,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.70563516918965,32987216.0,8924924.0,41912140.0,823,120.54364967346191,164,45.32020664215088,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam10_seed3_ranking.csv,softplus_fixed_norm1_lam10_seed3
1,136648,5657719,softplus,dual,0.01,1e-06,100.0,0.2694844621968839,True,0.0,1000,5,80.78383971803873,33858236.0,8053904.0,41912140.0,824,120.50703048706055,164,45.34719467163086,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_dual_norm1_lam0_0p01_eta1em06_seed1_ranking.csv,softplus_dual_norm1_lam0_0p01_eta1em06_seed1
2,136648,5657719,softplus,dual,0.01,1e-06,100.0,0.269322210359404,True,0.0,1000,5,80.78866886777912,33860260.0,8051880.0,41912140.0,823,120.49417114257812,164,45.33239483833313,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_dual_norm1_lam0_0p01_eta1em06_seed2_ranking.csv,softplus_dual_norm1_lam0_0p01_eta1em06_seed2
3,136648,5657719,softplus,dual,0.01,1e-06,100.0,0.27065201313667314,True,0.0,1000,5,80.78956598255303,33860636.0,8051504.0,41912140.0,823,120.53557515144348,164,45.3642520904541,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_dual_norm1_lam0_0p01_eta1em06_seed3_ranking.csv,softplus_dual_norm1_lam0_0p01_eta1em06_seed3
1,136648,5657719,swap,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.46891091698014,34145364.0,7766776.0,41912140.0,1335,120.45957255363464,0,0.0,2,0.05646967887878418,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0_seed1_ranking.csv,swap_fixed_norm1_lam0_seed1
2,136648,5657719,swap,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.47661274275187,34148592.0,7763548.0,41912140.0,1336,120.50967574119568,0,0.0,2,0.056305885314941406,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0_seed2_ranking.csv,swap_fixed_norm1_lam0_seed2
